Row #,Dept. Descr,Acad Org,Course ID,Offer Nbr,Offered,Last Offered,Subject,Catalog Nbr,Course Title,(D),(Q),(W),Xlist,Primary/Secondary,Course Descr,Cls Format,Rqmt/Eval,Prereqs,Enrl Limit,Exp Cls Sz,Preferences,Dept Notes,Distrib Notes,Extra Info,Extra Info2,Matl/Lab Fee,Division,EDI,QFR,WI,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attrbute10,Section,Component,Pat1,Start Time1,End Time1,WMS Facl Dsc 1,Pat2,Start Time2,End Time2,WMS Facl Dsc 2,Pat3,Start Time3,End Time3,WMS Facl Dsc 3,Last Name 1,First Name 1,Last Name 2,First Name 2,Last Name 3,First Name 3,Last Name 4,First Name 4,Last Name 5,First Name 5,Last Name 6,First Name 6,Subject Sort,Catalog Nbr Sort,Term Sort
1,Africana Studies,AFR,017761,1,Fall 2014,,AFR, 200,Introduction to Africana Studies,,,,,,"This course introduces students to the content and contours of Africana Studies as a vibrant field of knowledge. Through exploration of the genealogy, disciplinary diversity, and evolution of the field, we will examine the depth and range of experiences of African-descended peoples throughout the Americas, the Caribbean, Europe, and Africa. We will also give some attention to how members of the Diaspora remember and encounter Africa, as well as their diverse responses to the history of enslavement, colonialism, apartheid, racism, and globalization. Through materials that embrace both historical and contemporary perspectives, we seek to help students develop critical frameworks for understanding African diasporic experience while simultaneously illumining disjunctures and challenges for the field. This course features two pedagogical strategies: 1) a rotational, interdisciplinary approach that includes the expertise, methods, and specializations of Africana faculty; and 2) the incorporation of aesthetic materials--film, photography, music, dance, performance, and artwork--to enhance student ability to draw ongoing connections between visual and textual sources covered in the course. Close textual analysis, vibrant debate, and engaging discourse are expected.",lecture/discussion,"evaluation will be based upon class participation, weekly reading response papers, two short essays, and a final research project",none,18,15,,,,,,,Division 2,,,,AFR Core Electives,"AMST Comp Studies in Race, Ethnicity, Diaspora",INST African Studies Electives,LATS Comparative Race + Ethnic Studies Electives,,,,,,,01,LEC,MR,02:35,03:50,Griffin 4,,,,,,,,,Roberts,Neil,,,,,,,,,,,AFR, 200,1151
2,Africana Studies,AFR,017761,1,Spring 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,LEC,TR,11:20,12:35,,,,,,,,,,Manigault-Bryant,James,,,,,,,,,,,AFR, 200,1153
1,Africana Studies,AFR,018861,2,Fall 2014,,AFR, 201,African Dance and Percussion,,,,DANC 201/AFR 201/MUS 220,Secondary,"This course focuses on selected dance and music forms from the African continent for example, <I>Kpanlogo</I> from Ghana, <I>Lamban</I> from Guinea, Senegal and Mali or <I>Bira</I> from Zimbabwe. We will examine their origins (people, history and cultures) and influence beyond geographic perimeter to more fully understand the function of these forms in contemporary times. Students will study movement and percussion and are evaluated on the quality of progress with the selected forms throughout the semester. Forms may not be the same every semester. 
This course can be taken for academic and/or PE credit",studio/lecture/discussion,participation in assignments that include research and performance projects and a short paper; students enrolled for PE credit only are not required to do short paper or research assignments; all students must participate in all performance projects,DANC 100 or permission of instructor,25,20,students who have taken Dance 100 or advanced placement,"MUS Group B Electives --classes 2015 and 2016
MUS World Music/Ethnomusicology--class of 2017 and beyond",meets Division 1 requirement if registration is under DANC or MUS; meets Division 2 requirement if registration is under AFR,,this course may be taken for academic and/or PE credit; see description for more details,,Division 1,,,,INST African Studies Electives,MUS Group B Electives,MUS World Music/Ethnomusicology,,,,,,,,01,STU,TF,01:10,03:50,62CtrThea&Dance Shared Studio,,,,,,,,,Burton,Sandra,Muparutsa,Tendai,,,,,,,,,AFR, 201,1151
1,Africana Studies,AFR,020055,1,Spring 2015,,AFR, 202,Public Speaking: Traditions and Practice,,,,,,"Effective oral communication skills are necessary for any student, regardless of major or area of concentration. This course is designed to give students an introduction into the fundamentals of oral communication. We will discuss the critical role of both speakers and listeners within the transactional process of communication. Together we will explore African American oratorical traditions through viewing, listening to, and reading speeches from notable figures such as Frederick Douglass, Fannie Lou Hamer, Barak Obama, and many others. With an emphasis placed on Aristotelian and African American rhetorical methods of persuasion, evidence-based research, and organization, students will gain a better understanding of what it means to be an ethical and responsible communicator. Students will give three formal speech presentations with a focus on informative and persuasive elements. Through discussions, lectures, activities, readings, and speech presentations, students will develop meaningful skills to effectively communicate in the public setting.",seminar,"students will give three formal speech presentations with a focus on informative and persuasive elements; through discussions, lectures, activities, readings, and speech presentations, students will develop meaningful skills to effectively communicate",none,19,19,first and second year students.,,,,,,Division 2,,,,,,,,,,,,,,01,SEM,TR,08:30,09:45,,,,,,,,,,Ford,VaNatta,,,,,,,,,,,AFR, 202,1153
1,Africana Studies,AFR,018400,2,Fall 2014,,AFR, 203,Modern African History,(D),,,HIST 203/AFR 203,Secondary,"This course surveys the history of 19th and 20th century Africa. The first section of the course focuses on the European conquest of Africa and the dynamics of colonial rule--especially its socio-economic and cultural consequences. The second section looks at how the rising tide of African nationalism, in the form of labor strikes and guerrilla wars, ushered out colonialism. The third section examines the postcolonial states, focusing on the politics of development, recent civil wars in countries like Rwanda and Liberia, and the growing AIDS epidemics. The last section surveys the history of Apartheid in South Africa up to 1994.Course materials include fiction, poetry, memoirs, videos, newspaper articles, and outstanding recent scholarship. The course is structured around discussions. This EDI course explores the experiences and expressions of the culturally diverse peoples of African descent in the New World (and the Old), as well as the myriad ways in which they confront, negotiate, and at times challenge dominant U.S. and/or European hierarchies of race, culture, gender and class.",lecture/discussion,"evaluation will be based on two 7- to 10-page papers, one exam, and an unspecified number of pop quizzes",none; no prior knowledge of African history required; open to all,40,15-25,students interested in History or Africana Studies,,,,,,Division 2,Exploring Diversity,,,HIST Group A Electives - Africa,INST African Studies Electives,,,,,,,,,01,LEC,MWF,11:00,12:15,Paresky 207,,,,,,,,,Mutongi,Kenda,,,,,,,,,,,AFR, 203,1151
1,Africana Studies,AFR,017895,2,Not Offered Academic Year 2015,last offered Fall 2013,AFR, 204,Introduction to Francophone Studies,(D),,,RLFR 203/AFR 204,Secondary,"The Francophone world, stretching across Europe, Africa, the Middle East, Asia, the Caribbean and the Americas, has often been described as a family joined by a shared language and condition born of colonial history. Through fiction and film, this course will examine what it means to be Francophone, and how writers and filmmakers from the Francophone world have approached the idea of family both literally and metaphorically in order to explore questions of identity, origins, colonialism, resistance, nationhood and interconnectedness in a global community. This course invites students to enter into critical engagement with cultural constructions of difference, colonial and post-colonial constructions of subjectivity, culturally contested imaginations and treatment of gender and race, and the very idea of the Francophone itself. Authors we will read include: Driss Chraibi (Morocco), Dany Laferrière (Haiti), Maryse Condé (Guadeloupe), Aimé Césaire (Martinique), Linda Lê (Vietnam) and Fatou Diome (Senegal). Films studied include <I>Moolaadé</I> (Ousmane Sembène),<I> La vie sur terre</I> (Abderrahman Sissoko) and<I> Abouna</I> (Mahamet-Saleh Haroun). <I>Conducted in French</I>.",seminar,"active class participation, informal response papers, two short papers, and final paper","RLFR 105 or above or results of the College Placement Examination, or permission of instructor",20,20,"French majors or certificate candidates, and Africana Studies concentrators",,meets Division 1 requirement if registration is under RLFR; meets Division 2 requirement if registration is under AFR,,,,Division 1,Exploring Diversity,,,INST African Studies Electives,"INST Borders, Exiles + Diaspora Studies Electives",,,,,,,,,,SEM,,,,,,,,,,,,,Pieprzak,Katarzyna,,,,,,,,,,,AFR, 204,1141
1,Africana Studies,AFR,018862,2,Spring 2015,,AFR, 206,African Dance and Percussion,,,,DANC 202/AFR 206/MUS 221,Secondary,"Course continues the investigation of selected music and dance from the African continent. Advancing dance and music skills, deepening understanding of history and context of the material are focus of readings, discussions and projects throughout the semester. Questions we will address include the impact of religion, colonialism, travel, immigration, media tradition and the continued emergence of new forms. Material may include <I>Gum Boots</I> (<I>Isicathulo</I>) from Southern Africa, <I>Juju</I> in Nigeria or <I>Hip Hop</I> in several nations.  
This course can be taken for academic and/or PE credit.",studio/lecture/discussion,participation in assignments that include research and performance projects and a short paper; students enrolled for PE credit only are not required to do short paper or research assignments; all students must participate in all performance projects,none,20,20,"students who have taken DANC 100, DANC 201 or permission of the instructor",MUS World Music/Ethnomusicology--class of 2017 and beyond,meets Division 1 requirement if registration is under DANC or MUS; meets Division 2 requirement if registration is under AFR,,,,Division 1,,,,INST African Studies Electives,MUS World Music/Ethnomusicology,,,,,,,,,01,STU,TF,01:10,03:50,,,,,,,,,,Burton,Sandra,Muparutsa,Tendai,,,,,,,,,AFR, 206,1153
1,Africana Studies,AFR,019672,1,Not Offered Academic Year 2015,last offered Fall 2013,AFR, 207,Hip-Hop and Political Theory,,,,AFR 207/PSCI 212,Primary,"This course is an introduction into the theoretical underpinnings of the genesis and evolution of hip-hop, a late modern phenomenon whose forms are routinely referred to as a movement, a culture, a music, and a politics.  Since its emergence in the South Bronx during the late 1970s, what constitutes the organizing definitions and philosophical bulwarks of hip-hop are often underexplored.   The course illuminates such submerged, neglected, and contested bodies of knowledge by focusing on eight concepts: justice, rights, recognition, freedom, equality, democracy, love, and judgment.  Through these principles, students are able to address how we frame questions of race, ethnicity, gender, sexuality, class, authenticity, the public sphere, incarceration, and globalization.  Our meetings consider the popular and the underground, the originally forged and the remixed, the utility of nomenclature bifurcating conscious and radical hip-hop on the one hand and alternative modes following the logic of neoconservatism and neoliberalism on the other, examining throughout the interplay among language, aesthetics, and form.  We investigate as well whether hip-hop in the United States and around the world is intrinsically a political, anti-political, or neutral force in the realm of politics.  Written texts, lyrical thought, breaking, film, music videos, and guest lectures by rappers, R&B singers, DJs, academics, and graffiti artists are interwoven in assignments and in-class discussions.  Through these mediums and select experiential education opportunities outside the classroom, students have an opportunity to render evaluations on the political theory of hip-hop between past and future.",lecture,"attendance and participation, two 5- to 7-page essays, and choice of a final 10-page paper or final project; students opting for a final project must receive instructor approval and convey the contours of a core course concept",none; open to all,25,20,none,,,"through one of the following mediums:video interviews with visiting artists and scholars, a PowerPoint presentation, original song, mixtape, or combined multimedia presentation",may not be taken on a pass/fail basis,,Division 2,,,,AFR Core Electives,,,,,,,,,,,LEC,,,,,,,,,,,,,Roberts,Neil,,,,,,,,,,,AFR, 207,1141
1,Africana Studies,AFR,019674,1,Not Offered Academic Year 2015,last offered Spring 2014,AFR, 208,Time and Blackness,,,(W),AFR 208/AMST 208/REL 262,Primary,"The concept of time is one of the most examined, yet least theorized, concepts in Africana Studies.  While the field is saturated with historical studies and literary analyses that take up issues of cultural memory, both of which involve thinking about time, time itself is rarely the subject of sustained inquiry.  This may be due to its abstractness as an idea and the level of analysis its conceptualization demands, or because time in the African American experience cannot be understood outside of the meaning of race, which itself is far from tangible.  In this tutorial, ""Time and Blackness,"" we will explore how African American writers across a number of genres understand time.  We will read select texts of fiction as well as spiritual autobiographies, historical narratives, and sociological studies to understand how writers draw from -- and create --paradigms of time to organize their work.  The following questions will structure our investigation:  What are the constituent elements of time in African American writing?  How does race shape the ways a writer conceives of the experience of time?  In examining writings across genres, is there something that we can call an identifiable African-American ""timescape""?",tutorial,"assignments will include six 2-page response papers; two 5-page writing assignments; and a final, 10-page review essay on how time is understood in a genre of writing",none,10,10,"preference will be given to concentrators in Africana Studies, majors in Religious Studies, and majors in American Studies",,,may not be taken on a pass/fail basis,,,Division 2,,,Writing Intensive,AFR Core Electives,,,,,,,,,,,TUT,,,,,,,,,,,,,Manigault-Bryant,James,,,,,,,,,,,AFR, 208,1143
1,Africana Studies,AFR,019995,2,Fall 2014,,AFR, 209,Black/Independent/Cinema,,,,ENGL 203/AFR 209/AMST 203,Secondary,"Trick question: Is black independent cinema (a) a marketing strategy, (b) a political project, or (c) an aesthetic tradition?  In this course, we'll watch movies that are celebrated or obscure, crowd-pleasing or aesthetically demanding, militant or reassuring, or sometimes all of the above.  But ""all of the above"" is a cheap answer to a trick question--the kind of thing you might say on the way out of the theater if you want to sound smart but don't really have an opinion of your own!  Since the films we'll watch are not designed for a passive, silent viewer, one of our tasks will be to ask how we might constitute ourselves as the audience they call for.  Our primary emphasis will be on basic theoretical questions--what makes a film ""independent,"" and what makes it ""black""?--but we'll aim for some historical coverage as well, moving backwards and forwards from a grounding in the late 1980s/early 1990s.  Films may include <I>Daughters of the Dust, Killer of Sheep, Do the Right Thing, Drylongso (Ordinary), The Spook Who Sat by the Door, The Brother from Another Planet, Dave Chappelle's Block Party</I>, and others.",seminar,"active participation, frequent short writing assignments, a midterm paper and a final project","a 100-level ENGL course, or a score of 5 on the AP English Literature exam, or a score of 6 or 7 on the Higher Level IB English exam; or consent of the instructor",25,25,English majors and Africana concentrators,,,meets Division 1 requirement if registration is under ENGL; meets Division 2 requirement if registration is under AFR or AMST,,,Division 1,,,,ENGL Literary Histories C,,,,,,,,,,01,SEM,MR,02:35,03:50,Greylock A,,,,,,,,,Schleitwiler,Vincent,,,,,,,,,,,AFR, 209,1151
1,Africana Studies,AFR,018934,2,Not Offered Academic Year 2015,last offered Fall 2011,AFR, 210,Culture and Incarceration,,,,PSCI 210/AFR 210/AMST 210/WGSS 210/INTR 210,Secondary,"This seminar examines incarceration, immigration detention centers, and the death penalty from historical and contemporary perspectives.
Students will study and examine interdisciplinary texts as well primary sources (legislature and criminal codes and writings by the incarcerated). The emphasis will be on the study of social attitudes concerning ethnic groups, gender/sexuality and class as they pertain to a ""penal culture"" in the United States.",seminar,attendance and active participation (10%); collective/group presentations (30%); four 5-page double spaced e-papers (60%),none,15,,"juniors and seniors, or sophomores with permission of instructor",,,,,,Division 2,,,,"AMST Comp Studies in Race, Ethnicity, Diaspora",JLST Enactment/Applications in Institutions,,,,,,,,,,SEM,,,,,,,,,,,,,James,Joy,,,,,,,,,,,AFR, 210,1121
